name,time,beacon,location,rssi,scanner
TestRSSI2,1578637095493000000,0117C55D14E4,T1_3,-69,E13B805C6CB0
TestRSSI2,1578637095494000000,0117C55D14E4,T1_3,-68,DF231643E227
TestRSSI2,1578637095571000000,0117C55D14E4,T1_3,-87,DB8B36A69C56
TestRSSI2,1578637095571000000,0117C55D14E4,T1_3,-81,D2B6503554D7
TestRSSI2,1578637095628000000,0117C55D14E4,T1_3,-78,F69A86823B96
TestRSSI2,1578637095633000000,0117C55D14E4,T1_3,-84,E43355CA8B96
TestRSSI2,1578637095728000000,0117C55D14E4,T1_3,-59,DF231643E227
TestRSSI2,1578637095752000000,0117C55D14E4,T1_3,-75,EC72840D9AD3
TestRSSI2,1578637095770000000,0117C55D14E4,T1_3,-84,F69A86823B96
TestRSSI2,1578637095847000000,0117C55D14E4,T1_3,-94,DB8B36A69C56
TestRSSI2,1578637095861000000,0117C55D14E4,T1_3,-83,F1307ECB3B90
TestRSSI2,1578637095920000000,0117C55D14E4,T1_3,-72,FB2EE01C18CE
TestRSSI2,1578637096000000000,0117C55D14E4,T1_3,-72,DD697EA75B68
TestRSSI2,1578637096000000000,0117C55D14E4,T1_3,-57,DF231643E227
TestRSSI2,1578637096047000000,0117C55D14E4,T1_3,-69,DF231643E227
TestRSSI2,1578637096049000000,0117C55D14E4,T1_3,-69,E96AF2C858BA
TestRSSI2,1578637096098000000,0117C55D14E4,T1_3,-81,D2B6503554D7
TestRSSI2,1578637096207000000,0117C55D14E4,T1_3,-77,E6D9D20DD197
TestRSSI2,1578637096235000000,0117C55D14E4,T1_3,-95,FDAE5980F28C
TestRSSI2,1578637096290000000,0117C55D14E4,T1_3,-73,E96AF2C858BA
TestRSSI2,1578637096293000000,0117C55D14E4,T1_3,-72,FB2EE01C18CE
TestRSSI2,1578637096418000000,0117C55D14E4,T1_3,-69,E96AF2C858BA
TestRSSI2,1578637096437000000,0117C55D14E4,T1_3,-70,DD697EA75B68
TestRSSI2,1578637096510000000,0117C55D14E4,T1_3,-70,DD697EA75B68
TestRSSI2,1578637096551000000,0117C55D14E4,T1_3,-82,F1307ECB3B90
TestRSSI2,1578637096728000000,0117C55D14E4,T1_3,-83,E6D9D20DD197
TestRSSI2,1578637096822000000,0117C55D14E4,T1_3,-76,E13B805C6CB0
TestRSSI2,1578637096848000000,0117C55D14E4,T1_3,-77,E6D9D20DD197
TestRSSI2,1578637097110000000,0117C55D14E4,T1_3,-87,DB8B36A69C56
TestRSSI2,1578637097151000000,0117C55D14E4,T1_3,-78,E6D9D20DD197
TestRSSI2,1578637097284000000,0117C55D14E4,T1_3,-80,E6D9D20DD197
TestRSSI2,1578637097341000000,0117C55D14E4,T1_3,-72,E13B805C6CB0
TestRSSI2,1578637097443000000,0117C55D14E4,T1_3,-58,DF231643E227
TestRSSI2,1578637097528000000,0117C55D14E4,T1_3,-58,DF231643E227
TestRSSI2,1578637097554000000,0117C55D14E4,T1_3,-80,E6D9D20DD197
TestRSSI2,1578637097701000000,0117C55D14E4,T1_3,-78,F69A86823B96
TestRSSI2,1578637097802000000,0117C55D14E4,T1_3,-91,C400A2E19293
TestRSSI2,1578637097816000000,0117C55D14E4,T1_3,-79,E6D9D20DD197
TestRSSI2,1578637097987000000,0117C55D14E4,T1_3,-58,DF231643E227
TestRSSI2,1578637098088000000,0117C55D14E4,T1_3,-92,E8FD0B453DC4
TestRSSI2,1578637098106000000,0117C55D14E4,T1_3,-77,E6D9D20DD197
TestRSSI2,1578637098122000000,0117C55D14E4,T1_3,-82,D2B6503554D7
TestRSSI2,1578637098122000000,0117C55D14E4,T1_3,-71,E13B805C6CB0
TestRSSI2,1578637098143000000,0117C55D14E4,T1_3,-67,DF231643E227
TestRSSI2,1578637098154000000,0117C55D14E4,T1_3,-84,F1307ECB3B90
TestRSSI2,1578637098171000000,0117C55D14E4,T1_3,-84,F69A86823B96
TestRSSI2,1578637098211000000,0117C55D14E4,T1_3,-81,E6D9D20DD197
TestRSSI2,1578637098312000000,0117C55D14E4,T1_3,-58,DF231643E227
TestRSSI2,1578637098531000000,0117C55D14E4,T1_3,-83,F69A86823B96
TestRSSI2,1578637098531000000,0117C55D14E4,T1_3,-67,DF231643E227
TestRSSI2,1578637098548000000,0117C55D14E4,T1_3,-71,DD697EA75B68
TestRSSI2,1578637098564000000,0117C55D14E4,T1_3,-71,FB2EE01C18CE
TestRSSI2,1578637098581000000,0117C55D14E4,T1_3,-71,FB2EE01C18CE
TestRSSI2,1578637098750000000,0117C55D14E4,T1_3,-82,E6D9D20DD197
TestRSSI2,1578637098841000000,0117C55D14E4,T1_3,-76,EC72840D9AD3
TestRSSI2,1578637098841000000,0117C55D14E4,T1_3,-71,E13B805C6CB0
TestRSSI2,1578637098938000000,0117C55D14E4,T1_3,-84,E6D9D20DD197
TestRSSI2,1578637099050000000,0117C55D14E4,T1_3,-68,DF231643E227
TestRSSI2,1578637099062000000,0117C55D14E4,T1_3,-71,FB2EE01C18CE
TestRSSI2,1578637099062000000,0117C55D14E4,T1_3,-78,E6D9D20DD197
TestRSSI2,1578637099066000000,0117C55D14E4,T1_3,-75,EC72840D9AD3
TestRSSI2,1578637099066000000,0117C55D14E4,T1_3,-91,C400A2E19293
TestRSSI2,1578637099122000000,0117C55D14E4,T1_3,-80,D2B6503554D7
TestRSSI2,1578637172317000000,0117C55D14E4,T1_4,-73,F1307ECB3B90
TestRSSI2,1578637172320000000,0117C55D14E4,T1_4,-71,EC72840D9AD3
TestRSSI2,1578637172348000000,0117C55D14E4,T1_4,-64,DF231643E227
TestRSSI2,1578637172348000000,0117C55D14E4,T1_4,-70,E6D9D20DD197
TestRSSI2,1578637172507000000,0117C55D14E4,T1_4,-89,E43355CA8B96
TestRSSI2,1578637172510000000,0117C55D14E4,T1_4,-52,DF231643E227
TestRSSI2,1578637172550000000,0117C55D14E4,T1_4,-87,E6D9D20DD197
TestRSSI2,1578637172601000000,0117C55D14E4,T1_4,-77,DB8B36A69C56
TestRSSI2,1578637172677000000,0117C55D14E4,T1_4,-80,E13B805C6CB0
TestRSSI2,1578637172677000000,0117C55D14E4,T1_4,-73,F1307ECB3B90
TestRSSI2,1578637172690000000,0117C55D14E4,T1_4,-81,DD697EA75B68
TestRSSI2,1578637172691000000,0117C55D14E4,T1_4,-89,DB8B36A69C56
TestRSSI2,1578637172707000000,0117C55D14E4,T1_4,-77,CD4533FFC0E1
TestRSSI2,1578637172710000000,0117C55D14E4,T1_4,-76,E6D9D20DD197
TestRSSI2,1578637172711000000,0117C55D14E4,T1_4,-77,CD4533FFC0E1
TestRSSI2,1578637172800000000,0117C55D14E4,T1_4,-73,E6D9D20DD197
TestRSSI2,1578637172832000000,0117C55D14E4,T1_4,-57,DF231643E227
TestRSSI2,1578637172878000000,0117C55D14E4,T1_4,-80,E6D9D20DD197
TestRSSI2,1578637172927000000,0117C55D14E4,T1_4,-71,EC72840D9AD3
TestRSSI2,1578637172974000000,0117C55D14E4,T1_4,-80,FB2EE01C18CE
TestRSSI2,1578637173018000000,0117C55D14E4,T1_4,-87,FB2EE01C18CE
TestRSSI2,1578637173052000000,0117C55D14E4,T1_4,-75,F1307ECB3B90
TestRSSI2,1578637173079000000,0117C55D14E4,T1_4,-82,DD697EA75B68
TestRSSI2,1578637173149000000,0117C55D14E4,T1_4,-91,DB8B36A69C56
TestRSSI2,1578637173384000000,0117C55D14E4,T1_4,-88,E43355CA8B96
TestRSSI2,1578637173467000000,0117C55D14E4,T1_4,-73,E96AF2C858BA
TestRSSI2,1578637173470000000,0117C55D14E4,T1_4,-70,E96AF2C858BA
TestRSSI2,1578637173495000000,0117C55D14E4,T1_4,-82,DD697EA75B68
TestRSSI2,1578637173618000000,0117C55D14E4,T1_4,-70,E6D9D20DD197
TestRSSI2,1578637173653000000,0117C55D14E4,T1_4,-59,DF231643E227
TestRSSI2,1578637173667000000,0117C55D14E4,T1_4,-81,E13B805C6CB0
TestRSSI2,1578637173723000000,0117C55D14E4,T1_4,-89,DB8B36A69C56
TestRSSI2,1578637173723000000,0117C55D14E4,T1_4,-73,E6D9D20DD197
TestRSSI2,1578637173728000000,0117C55D14E4,T1_4,-52,DF231643E227
TestRSSI2,1578637173805000000,0117C55D14E4,T1_4,-80,F1307ECB3B90
TestRSSI2,1578637173847000000,0117C55D14E4,T1_4,-70,EC72840D9AD3
TestRSSI2,1578637173849000000,0117C55D14E4,T1_4,-70,E6D9D20DD197
TestRSSI2,1578637173853000000,0117C55D14E4,T1_4,-89,FB2EE01C18CE
TestRSSI2,1578637173905000000,0117C55D14E4,T1_4,-93,E43355CA8B96
TestRSSI2,1578637173929000000,0117C55D14E4,T1_4,-71,E96AF2C858BA
TestRSSI2,1578637173974000000,0117C55D14E4,T1_4,-77,FB2EE01C18CE
TestRSSI2,1578637173988000000,0117C55D14E4,T1_4,-56,DF231643E227
TestRSSI2,1578637174020000000,0117C55D14E4,T1_4,-75,E6D9D20DD197
TestRSSI2,1578637174042000000,0117C55D14E4,T1_4,-53,DF231643E227
TestRSSI2,1578637174066000000,0117C55D14E4,T1_4,-86,D2B6503554D7
TestRSSI2,1578637174132000000,0117C55D14E4,T1_4,-70,F69A86823B96
TestRSSI2,1578637174140000000,0117C55D14E4,T1_4,-70,F69A86823B96
TestRSSI2,1578637174198000000,0117C55D14E4,T1_4,-71,E6D9D20DD197
TestRSSI2,1578637174220000000,0117C55D14E4,T1_4,-64,DF231643E227
TestRSSI2,1578637174266000000,0117C55D14E4,T1_4,-70,EC72840D9AD3
TestRSSI2,1578637174297000000,0117C55D14E4,T1_4,-73,CD4533FFC0E1
TestRSSI2,1578637174301000000,0117C55D14E4,T1_4,-70,F69A86823B96
TestRSSI2,1578637174340000000,0117C55D14E4,T1_4,-73,E6D9D20DD197
TestRSSI2,1578637174365000000,0117C55D14E4,T1_4,-69,E96AF2C858BA
TestRSSI2,1578637174365000000,0117C55D14E4,T1_4,-72,CD4533FFC0E1
TestRSSI2,1578637174371000000,0117C55D14E4,T1_4,-75,E6D9D20DD197
TestRSSI2,1578637174436000000,0117C55D14E4,T1_4,-70,E6D9D20DD197
TestRSSI2,1578637174485000000,0117C55D14E4,T1_4,-69,E13B805C6CB0
TestRSSI2,1578637174492000000,0117C55D14E4,T1_4,-73,E96AF2C858BA
TestRSSI2,1578637174566000000,0117C55D14E4,T1_4,-87,C400A2E19293
TestRSSI2,1578637174589000000,0117C55D14E4,T1_4,-88,FB2EE01C18CE
TestRSSI2,1578637174602000000,0117C55D14E4,T1_4,-58,DF231643E227
TestRSSI2,1578637174695000000,0117C55D14E4,T1_4,-52,DF231643E227
TestRSSI2,1578637174710000000,0117C55D14E4,T1_4,-71,E96AF2C858BA
TestRSSI2,1578637174743000000,0117C55D14E4,T1_4,-82,DD697EA75B68
TestRSSI2,1578637174772000000,0117C55D14E4,T1_4,-72,F1307ECB3B90
TestRSSI2,1578637174779000000,0117C55D14E4,T1_4,-82,FB2EE01C18CE
TestRSSI2,1578637174796000000,0117C55D14E4,T1_4,-66,DF231643E227
TestRSSI2,1578637174850000000,0117C55D14E4,T1_4,-73,E6D9D20DD197
TestRSSI2,1578637174982000000,0117C55D14E4,T1_4,-77,E6D9D20DD197
TestRSSI2,1578637175135000000,0117C55D14E4,T1_4,-71,E13B805C6CB0
TestRSSI2,1578637175135000000,0117C55D14E4,T1_4,-71,E6D9D20DD197
TestRSSI2,1578637175140000000,0117C55D14E4,T1_4,-71,E96AF2C858BA
TestRSSI2,1578637175271000000,0117C55D14E4,T1_4,-87,DB8B36A69C56
TestRSSI2,1578637175271000000,0117C55D14E4,T1_4,-98,E8FD0B453DC4
TestRSSI2,1578637175315000000,0117C55D14E4,T1_4,-83,E6D9D20DD197
TestRSSI2,1578637175369000000,0117C55D14E4,T1_4,-96,E43355CA8B96
TestRSSI2,1578637175407000000,0117C55D14E4,T1_4,-80,FB2EE01C18CE
TestRSSI2,1578637175412000000,0117C55D14E4,T1_4,-53,DF231643E227
TestRSSI2,1578637175454000000,0117C55D14E4,T1_4,-94,E43355CA8B96
TestRSSI2,1578637175463000000,0117C55D14E4,T1_4,-89,C400A2E19293
TestRSSI2,1578637175492000000,0117C55D14E4,T1_4,-73,E6D9D20DD197
TestRSSI2,1578637175552000000,0117C55D14E4,T1_4,-53,DF231643E227
TestRSSI2,1578637175678000000,0117C55D14E4,T1_4,-90,FB2EE01C18CE
TestRSSI2,1578637175839000000,0117C55D14E4,T1_4,-57,DF231643E227
TestRSSI2,1578637175865000000,0117C55D14E4,T1_4,-77,E6D9D20DD197
TestRSSI2,1578637175911000000,0117C55D14E4,T1_4,-76,FB2EE01C18CE
TestRSSI2,1578637175922000000,0117C55D14E4,T1_4,-53,DF231643E227
TestRSSI2,1578637176059000000,0117C55D14E4,T1_4,-87,C400A2E19293
TestRSSI2,1578637176076000000,0117C55D14E4,T1_4,-70,F69A86823B96
TestRSSI2,1578637176157000000,0117C55D14E4,T1_4,-92,E43355CA8B96
TestRSSI2,1578637176158000000,0117C55D14E4,T1_4,-82,F69A86823B96
TestRSSI2,1578637176159000000,0117C55D14E4,T1_4,-77,E6D9D20DD197
TestRSSI2,1578637176159000000,0117C55D14E4,T1_4,-76,FB2EE01C18CE
TestRSSI2,1578637176294000000,0117C55D14E4,T1_4,-70,E6D9D20DD197
TestRSSI2,1578637176431000000,0117C55D14E4,T1_4,-56,DF231643E227
TestRSSI2,1578637176431000000,0117C55D14E4,T1_4,-73,E6D9D20DD197
TestRSSI2,1578637176481000000,0117C55D14E4,T1_4,-70,E13B805C6CB0
TestRSSI2,1578637176531000000,0117C55D14E4,T1_4,-76,E6D9D20DD197
TestRSSI2,1578637176537000000,0117C55D14E4,T1_4,-83,D2B6503554D7
TestRSSI2,1578637176550000000,0117C55D14E4,T1_4,-52,DF231643E227
TestRSSI2,1578637176703000000,0117C55D14E4,T1_4,-82,E13B805C6CB0
TestRSSI2,1578637176751000000,0117C55D14E4,T1_4,-80,DB8B36A69C56
TestRSSI2,1578637176813000000,0117C55D14E4,T1_4,-73,E96AF2C858BA
TestRSSI2,1578637176815000000,0117C55D14E4,T1_4,-70,E96AF2C858BA
TestRSSI2,1578637176816000000,0117C55D14E4,T1_4,-82,F1307ECB3B90
TestRSSI2,1578637176816000000,0117C55D14E4,T1_4,-56,DF231643E227
TestRSSI2,1578637176816000000,0117C55D14E4,T1_4,-70,E96AF2C858BA
TestRSSI2,1578637176823000000,0117C55D14E4,T1_4,-70,E96AF2C858BA
TestRSSI2,1578637176884000000,0117C55D14E4,T1_4,-75,CD4533FFC0E1
